section_id;flow_id;flow_name;rain_runoff_coefficient;rain_EZG_area_m2;ABIMO_runoff_m3/a;rainstation_id;bank_filtration_share;is_mar;flow_in_out;flow_type;Kommentar
S01;GoK_3.41;Zufluss_Spree_Gosener Kanal;;;;;;;in;inlet;
S01;WW_FRI_L;Wasserwerk Friedrichshagen L-Galerie;;;;;0,86;;out;abstraction_WW;
S01;WW_FRI_M;Wasserwerk Friedrichshagen M-Galerie;;;;;0,81;;out;abstraction_WW;
S01;Wernsdorf;Zufluss OSK (Wernsdorf);;;;;;;in;inlet;
S02;DaW_0.165;Zufluss Zeuthener See (Schmöckwitz);;;;;;;in;inlet;
S02;WW_FRI_G;Wasserwerk Friedrichshagen G-Galerie;;;;;0,63;;out;abstraction_WW;
S02;WW_FRI_K;Wasserwerk Friedrichshagen K-Galerie;;;;;0,83;;out;abstraction_WW;
S03;ageb1_320;Regenabfluss in Langer See, Dahme und Große Krampe;0,244;5229069;788278;DWD_0433;;;in;rain_runoff;
S04;WW_FRI_B;Wasserwerk Friedrichshagen B-Galerie;;;;;0,15;;out;abstraction_WW;
S04;WW_FRI_C;Wasserwerk Friedrichshagen C-Galerie;;;;;0,95;;out;abstraction_WW;
S04;WW_FRI_D;Wasserwerk Friedrichshagen D-Galerie;;;;;1;;out;abstraction_WW;
S04;WW_FRI_E;Wasserwerk Friedrichshagen E-Galerie;;;;;0,85;;out;abstraction_WW;
S04;WW_FRI_F;Wasserwerk Friedrichshagen F-Galerie;;;;;0,81;;out;abstraction_WW;
S04;MgS_8.576;Zufluss_Spree_Fähre Rahnsdorf;;;;;;;in;inlet;
S04;Fredersdorfer;Zufluss Fredersdorfer Fließ;;;;;;;in;inlet;
S05;ageb1_310;Regenabfluss in Müggelspree (einschließlich Großer Müggelsee und Erpe);0,241;7138358;1100999;DWD_0433;;;in;rain_runoff;
S06;Neuenhagener_no_Q_KW_MHF;Neuenhagener Mühlenfließ (Erpe) (NH-MF minus KW-MHF);;;;;;;in;inlet;
S06;Q_KW_MHF;Einleitung Klärwerk Münchehofe;;;;;;;in;WWTP;
S06;WW_FRI_A;Wasserwerk Friedrichshagen A-Galerie;;;;;0,37;;out;abstraction_WW;
S07;ageb1_330;Regenabfluss in Stadtspree bis Abzweig Britzer Verbindungskanal;0,288;7208300;1299881;DWD_0433;;;in;rain_runoff;
S07;WW_WUH_West;Wasserwerk Wuhlheide West-Galerie;;;;;0,24;;out;abstraction_WW;
S08;Wuhle_baseflow;Zufluss_Wuhle (ohne Regen);;;;;;;in;inlet;Baseflow Wuhle
S08;ageb1_331;Regenabfluss in Wuhle;0,237;19485692;2948080;DWD_0433;;;in;rain_runoff;
S08;WW_KAU_Nord;Wasserwerk Kaulsdorf Nord-Galerie;;;;;0;;out;abstraction_WW;
S08;WW_KAU_Sued;Wasserwerk Kaulsdorf Süd-Galerie;;;;;0;;out;abstraction_WW;
S08;WW_WUH_Ost;Wasserwerk Wuhlheide Ost-Galerie;;;;;0,6;;out;abstraction_WW;
S09;ageb1_340;Regenabfluss in Stadtspree bis Abzweig Landwehrkanal;0,272;5741250;991101;DWD_0433;;;in;rain_runoff;
S10;MHGG_baseflow;Zufluss_Marzahn Hohenschönhauser Grenzgraben (ohne Regen);;;;;;;in;inlet;Baseflow MHGG
S10;ageb1_351;Regenabfluss in Marzahn-Hohenschönhausener Grenzgraben;0,270;18177661;3128610;DWD_0433;;;in;rain_runoff;
S11;ageb1_350;Regenabfluss in Rummelsburger See;0,317;9626800;1946191;DWD_0433;;;in;rain_runoff;
S12;ageb1_620;Regenabfluss in Britzer Verbindungskanal;0,345;2511662;554034;DWD_0433;;;in;rain_runoff;
S13;CSO_1;Mischwasserüberläufe NSK;;;;;;;in;CSO;
S13;eag_150;Regenabfluss in Neuköllner Schifffahrtskanal;0,324;1097718;229611;DWD_0433;;;in;rain_runoff;
S14;CSO_2;Mischwasserüberläufe Landwehrkanal;;;;;;;in;CSO;
S14;eag_140;Regenabfluss in Landwehrkanal mit Flutgraben;0,421;4718966;1239924;DWD_0433;;;in;rain_runoff;
S14;eag_142;Regenabfluss in Urbanhafen;0,308;750793;146506;DWD_0433;;;in;rain_runoff;
S15;ageb1_380;Regenabfluss in Stadtspree bis Abzweig Berlin-Spandauer-Schifffahrtskanal;0,335;6095147;1297840;DWD_0433;;;in;rain_runoff;
S15;CSO_3;Mischwasserüberläufe Stadtspree bis Abzweig BSSK;;;;;;;in;CSO;
S16;Panke_baseflow_no_Q_KW_SCH_Panke;Zufluss Panke (ohne Regen);;;;;;;in;inlet;
S16;ageb1_401;Regenabfluss in Panke (ab Verteilerbauwerk bis Nordhafen);0,282;17030469;3036886;DWD_0433;;;in;rain_runoff;
S16;ageb1_133;Regenabfluss in Panke nördlich Verteilerbauwerk;0,20;5549140;725300;DWD_0433;;;in;rain_runoff;
S16;Q_KW_SCH_Panke;Einleitung Klärwerk Schönerlinde (Teil Panke);;;;;;;in;WWTP;nur der Anteil, der in Panke abgeleitet wird
S17;CSO_4;Mischwasserüberläufe Stadtspree ab Abzweig BSSK;;;;;;;in;CSO;
S18;ageb1_400;Regenabfluss in Kanäle nördlich der Spree;0,344;7650351;1571770;DWD_0433;;;in;rain_runoff;
S18;CSO_5;Mischwasserüberläufe BSSK;;;;;;;in;CSO;
S19;WW_JUN_Ost;Wasserwerk Jungfernheide Ost-Galerie;;;;;0,3;;out;abstraction_WW;
S19;WW_JUN_West;Wasserwerk Jungfernheide West-Galerie;;;;;0,3;;out;abstraction_WW;
S19;WW_JUN_Sued;Wasserwerk Jungfernheide Süd-Galerie;;;;;0,3;;out;abstraction_WW;
S19;WW_JUN_GWA;Wasserwerk Jungfernheide GWA;;;;;1;;out;abstraction_WW;
S19;CSO_6;Mischwasserüberläufe Stadtspree (Spree 5);;;;;;;in;CSO;
S20;ageb1_390;Regenabfluss in Stadtspree bis Mündung;0,257;7417154;1152508;DWD_0433;;;in;rain_runoff;
S20;Q_KW_RUH_Spree_bc;Einleitung Klärwerk Ruhleben in Spree;;;;;;;in;WWTP;
S21;ageb1_610;Regenabfluss in Rudower Arm;0,263;22787397;3737226;DWD_0433;;;in;rain_runoff;
S21;Q_KW_WAS_bc;Einleitung Klärwerk Wassmannsdorf;;;;;;;in;WWTP;
S21;WW_JOH_nkh;Wasserwerk Johannistal - Grundwasserhaltung (nkh);;;;;1;;in;ww_discharge;
S21;WW_JOH_tk;Wasserwerk Johannistal - Grundwasserhaltung (tk);;;;;1;;in;ww_discharge;
S21;WW_JOH_nkhn;Wasserwerk Johannistal - Altlastenabwehr (nkhn);;;;;1;;in;ww_discharge;
S22;Q_KW_RUH_TeK_bc;Einleitung Klärwerk Ruhleben in Teltowkanal;;;;;;;in;WWTP;
S22a;Q_KW_STA_bc;Einleitung Klärwerk Stahnsdorf;;;;;;;in;WWTP;
S22;ageb1_600;Regenabfluss in Teltowkanal;0,280;58328316;10424547;DWD_0433;;;in;rain_runoff;
H01;ageb1_132;Regenabfluss in Nordgraben;0,284;10496155;1844589;DWD_0433;;;in;rain_runoff;
H01;Q_KW_SCH_Nordgraben;Einleitung Klärwerk Schönerlinde (Teil Nordgraben);;;;;;;in;WWTP;nur der Anteil, der in Nordgraben abgeleitet wird
H02;582000;Zufluss Tegeler Fließ;;;;;;;in;inlet;
H02;ageb1_131;Regenabfluss in Tegeler Fließ;0,246;3324121;513158;DWD_0433;;;in;rain_runoff;
H03;ageb1_130;Regenabfluss in Tegeler See;0,342;2197356;452089;DWD_0433;;;in;rain_runoff;
H03;WW_TEG_baum;Wasserwerk Tegel (alle Galerien außer GWA) Galerie Baum;;;;;0,6;;out;abstraction_WW;
H03;WW_TEG_hzk;Wasserwerk Tegel (alle Galerien außer GWA) Galerie Hzk;;;;;0,6;yes;out;abstraction_WW;
H03;WW_TEG_nord;Wasserwerk Tegel (alle Galerien außer GWA) Galerie Nord;;;;;0,6;;out;abstraction_WW;
H03;WW_TEG_ost;Wasserwerk Tegel (alle Galerien außer GWA) Galerie Ost;;;;;0,6;;out;abstraction_WW;
H03;WW_TEG_saat;Wasserwerk Tegel (alle Galerien außer GWA) Galerie Saat;;;;;0,6;yes;out;abstraction_WW;
H03;WW_TEG_scha;Wasserwerk Tegel (alle Galerien außer GWA) Galerie Scha;;;;;0,6;;out;abstraction_WW;
H03;WW_TEG_sued;Wasserwerk Tegel (alle Galerien außer GWA) Galerie Sued;;;;;0,6;;out;abstraction_WW;
H03;WW_TEG_west;Wasserwerk Tegel (alle Galerien außer GWA) Galerie West;;;;;0,6;;out;abstraction_WW;
H03;WW_TEG_GWA;Wasserwerk Tegel (GWA);;;;;1;;out;abstraction_WW;
H03;Seeleitung_in;Seeleitung von Oberhavel zum Tegeler See (Zufluss);;;;;;;in;inlet;
H04;Borgsdorf;Zufluss Havel;;;;;;;in;inlet;
H04;WW_STO_birk;Wasserwerk Stolpe Galerie Birk;;;;;0,56;;out;abstraction_WW;
H04;WW_STO_borg;Wasserwerk Stolpe Galerie Borg;;;;;0,56;;out;abstraction_WW;
H04;WW_STO_nord;Wasserwerk Stolpe Galerie Nord;;;;;0,56;;out;abstraction_WW;
H04;WW_STO_sued;Wasserwerk Stolpe Galerie Sued;;;;;0,56;;out;abstraction_WW;
H05;WW_SPA_hori;Wasserwerk Spandau (Uferfiltration) Galerie Hori;;;;;0,2;;out;abstraction_WW;
H05;WW_SPA_kuhl;Wasserwerk Spandau (Uferfiltration) Galerie Kuhl;;;;;0,2;yes;out;abstraction_WW;
H05;WW_SPA_nord;Wasserwerk Spandau (Uferfiltration) Galerie Nord;;;;;0,2;yes;out;abstraction_WW;
H05;WW_SPA_sued;Wasserwerk Spandau (Uferfiltration) Galerie Sued;;;;;0,2;;out;abstraction_WW;
H05;WW_SPA_GWA;Wasserwerk Spandau (GWA);;;;;1;;out;abstraction_WW;
H05;Seeleitung_out;Seeleitung von Oberhavel zum Tegeler See (Abfluss);;;;;;;out;Seeleitung;
H05;ageb1_110;Regenabfluss in Oberhavel (Stadtgrenze bis oberhalb Mündung Tegeler See);0,241;908167;143464;DWD_0433;;;in;rain_runoff;
H06;ageb1_120;Regenabfluss in Oberhavel (Mündung Tegeler See bis Schleuse Spandau);0,313;3768139;738397;DWD_0433;;;in;rain_runoff;
H07;ageb1_210;Regenabfluss in Unterhavel ab Spreemündung bis Jungfernsee (ohne Wannsee);0,249;15984801;2499800;DWD_0433;;;in;rain_runoff;
H07;CSO_7;Mischwasserüberläufe Havel;;;;;;;in;CSO;
H08;WW_TIE_nord;Wasserwerk Tiefwerder Galerie Nord;;;;;0,28;;out;abstraction_WW;
H08;WW_TIE_sued;Wasserwerk Tiefwerder Galerie Süd;;;;;0,72;;out;abstraction_WW;
H08;WW_TIE_rupe;Wasserwerk Tiefwerder Galerie Rupenhorn;;;;;0,39;;out;abstraction_WW;
H08;WW_TIE_schi;Wasserwerk Tiefwerder Galerie Schildhorn;;;;;0,77;;out;abstraction_WW;
H08;WW_KLA_horn;Wasserwerk Kladow Galerie Horn;;;;;0,68;;out;abstraction_WW;
H08;WW_KLA_klad;Wasserwerk Kladow Galerie Klad;;;;;0,68;;out;abstraction_WW;
H08;WW_BEE_liep;Wasserwerk Beelitzhof Galerie Lieper Bucht;;;;;0,28;;out;abstraction_WW;
H08;WW_BEE_lind;Wasserwerk Beelitzhof Galerie Lindwerder;;;;;0,48;;out;abstraction_WW;
H08;WW_BEE_grfe;Wasserwerk Beelitzhof Galerie Großes Fenster;;;;;0,57;;out;abstraction_WW;
H09;ageb1_220;Regenabfluss in Großer Wannsee;0,204;1589892;212026;DWD_0433;;;in;rain_runoff;
H09;ageb1_230;Regenabfluss in Kleine Wannseekette;0,209;1103741;148528;DWD_0433;;;in;rain_runoff;
H09;WW_BEE_rehw;Wasserwerk Beelitzhof Galerie Rehwiese;;;;;0,1;;out;abstraction_WW;
H09;WW_BEE_wann;Wasserwerk Beelitzhof Galerie Wannsee;;;;;0,6;;out;abstraction_WW;
H09;WW_BEE_wies;Wasserwerk Beelitzhof Galerie Wiesenleitung;;;;;0,5;;out;abstraction_WW;
H09;WW_BEE_GWA;Wasserwerk Beelitzhof Galerie (GWA);;;;;1;;out;abstraction_WW;
