section_id;section_name;section_in_id;section_out_id;volume_m3;area_m2;branch_id;no_neg_flow_corr;no_transfer_section_up_neg_flow;conc_tracer.cso;conc_tracer.inlet;conc_tracer.rain;conc_tracer.ww_discharge;conc_tracer.wwtp;conc_tracer.rain_runoff;conc_tracer.rain_direct
S01;Seddinsee und Gosener Kanal;inlet;S02;10150000;2617865;1;NA;NA;0,00000000000000e+00;0,9972025412647937;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;2,79745873520639e-03
S02;Langer See (Dahme);S01;S03;12050000;2432101;1;NA;NA;0,00000000000000e+00;0,9967370517679807;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;3,26294823201936e-03
S03;Dahme;S02;MO_S03;1380000;1532065;1;NA;NA;0,00000000000000e+00;0,9959306383439251;1,99442475243846e-04;1,41765822376224e-45;1,02385205487047e-44;2,03926402136093e-04;3,86543525393878e-03
S04;Müggelsee;inlet;S05a;28700000;7666521;2;NA;NA;1,81185135061334e-206;0,9748054843699427;2,21155716138931e-09;7,36906456374282e-25;5,90624208850810e-06;1,28723927348959e-07;2,51884806640415e-02
S05;Müggelspree;S05a;S07;314000;NA;2;NA;NA;0,00000000000000e+00;0,8889523322924423;2,72723878547409e-03;0,00000000000000e+00;8,90950529949839e-02;2,82310976940613e-03;1,91295049431677e-02
S05a;Müggelspree 2;S04;S05;664000;NA;2;NA;NA;0,00000000000000e+00;0,9753305612610852;0,00000000000000e+00;0,00000000000000e+00;7,81625637835254e-29;5,91527205631105e-186;2,46694387389148e-02
S06;Erpe (NH-MF);inlet;S05;10000;NA;2;NA;NA;0,00000000000000e+00;0,4230769051921340;0,00000000000000e+00;0,00000000000000e+00;5,76923094807866e-01;0,00000000000000e+00;0,00000000000000e+00
S07;Spree 1;S05;MO_S07;1790000;NA;2;NA;NA;2,27974833511072e-317;0,9745008169479168;1,55206770576806e-03;7,06680468458290e-26;1,68899646255249e-02;1,57611874345564e-03;7,03309968310275e-03
S08;Wuhle;inlet;S07;15000;NA;2;Yes;NA;0,00000000000000e+00;0,9679842624446132;3,20478606212221e-02;0,00000000000000e+00;0,00000000000000e+00;3,20157375553868e-02;0,00000000000000e+00
S09;Spree 2;S07;MO_S09;1990000;NA;2;NA;NA;5,50167391888756e-281;0,9701064860951907;5,85498586636088e-03;6,83450682967880e-21;1,67765276841857e-02;6,01770837040928e-03;7,09927785021437e-03
S10;MHG-Graben;inlet;S11;7500;NA;2;NA;NA;0,00000000000000e+00;0,6004062879419272;3,99593712058073e-01;0,00000000000000e+00;0,00000000000000e+00;3,99593712058073e-01;0,00000000000000e+00
S11;Rummelsburger See;S10;S09;870000;NA;2;NA;NA;0,00000000000000e+00;0,1951594396089401;8,05143210989459e-01;0,00000000000000e+00;0,00000000000000e+00;8,04840560391060e-01;0,00000000000000e+00
S12;Britzer Verbindungskanal;S07;MO_S12;299000;NA;2;NA;NA;5,72183557654230e-297;0,9696417333095934;4,42632198813863e-03;1,44403495309840e-16;1,85631338754758e-02;4,71769520671004e-03;7,07743760822072e-03
S13;Neuköllner SF-Kanal;S12;S14;181000;NA;2;Yes;NA;5,80456392400526e-62;0,9486772204976892;2,51935236675237e-02;5,45013427709509e-07;1,79523227418029e-02;2,58701570779707e-02;7,49975466910955e-03
S14;Landwehrkanal;S09;S19;484000;NA;4;NA;NA;1,54190650396280e-63;0,9577387031363709;1,82014956010462e-02;2,25223700393365e-07;1,65251515259542e-02;1,85454576687016e-02;7,19046244527292e-03
S15;Spree 3;S09;MO_S15;1354000;NA;2;NA;NA;6,85871779377072e-161;0,9692304422989039;6,82631372494711e-03;9,21244686787051e-21;1,67020615413931e-02;6,94774894385255e-03;7,11974721585050e-03
S16;Panke;inlet;MO_S16;32000;NA;3;NA;NA;0,00000000000000e+00;0,9552052062012132;4,48250126090947e-02;0,00000000000000e+00;0,00000000000000e+00;4,47947937987869e-02;0,00000000000000e+00
S17;Spree 4;S15;S19;859000;NA;4;NA;NA;1,17861971751864e-158;0,9687243488156273;7,28395425796838e-03;1,42948330946681e-20;1,66714652490537e-02;7,47607990396035e-03;7,12810603135861e-03
S18;BSS-Kanal;S15;S19;854000;NA;4;NA;NA;1,51865830489898e-126;0,9565386404632701;1,24796611950904e-02;3,04243177540652e-18;2,40658254147767e-02;1,27759734528835e-02;6,61956066906976e-03
S19;Spree 5;S17;S20;381963;NA;4;NA;NA;1,67943493783993e-64;0,9584875129394171;1,02533257166994e-02;2,56714572358321e-08;2,40494431762405e-02;1,05160907697093e-02;6,94692744317585e-03
S20;Spree 6;S19;H07;1490000;NA;4;NA;NA;1,60567714086305e-64;0,8958573023344352;1,04243834490401e-02;2,49747798049034e-08;8,69091031142737e-02;1,07260267977751e-02;6,50754277873627e-03
S21a;Rudower Teltowkanal 1;S03;S21;109000;NA;1;NA;NA;0,00000000000000e+00;0,9972068831403725;4,36526218386416e-04;1,79143074584845e-43;1,06596947535758e-42;4,43649564776834e-04;2,34946729485057e-03
S21;Rudower Teltowkanal 2;S21a;S22;514000;NA;1;Yes;NA;0,00000000000000e+00;0,4242932570220789;7,24740850265003e-03;7,25973707404276e-02;4,94934458757214e-01;7,26019268563108e-03;9,14720794648219e-04
S22;Teltowkanal 1;S21;S22a;2482000;NA;2;NA;NA;2,34184632543591e-133;0,5542550971028822;2,95759745458116e-02;3,19349436737664e-02;3,80690567242812e-01;2,99356617639329e-02;3,18373021660645e-03
S22a;Teltowkanal 2;S22;S23;671000;NA;2;Yes;NA;2,34184632543591e-133;0,5542550971028822;2,95759745458116e-02;3,19349436737664e-02;3,80690567242812e-01;2,99356617639329e-02;3,18373021660645e-03
S23;Teltowkanal 3;S22a;MO_S23;1231000;NA;5;Yes;NA;3,25846221911314e-133;0,5523856334324774;3,28143868470275e-02;3,17540262157927e-02;3,79462688101450e-01;3,32048512487181e-02;3,19280100156142e-03
H01;Nordgraben;S16;H03;9000;NA;3;NA;NA;0,00000000000000e+00;0,0413545107482523;6,86124673522818e-03;0,00000000000000e+00;9,51762921240706e-01;6,88256801104156e-03;0,00000000000000e+00
H02;Tegeler Fließ;inlet;H03;12000;NA;3;NA;NA;0,00000000000000e+00;0,9983513949394590;1,64858126016846e-03;0,00000000000000e+00;0,00000000000000e+00;1,64860506054097e-03;0,00000000000000e+00
H03;Tegeler See;H01;H06;29980000;3957622;3;NA;Yes;0,00000000000000e+00;0,4070517239823886;6,58098126786764e-02;0,00000000000000e+00;4,94100422725146e-01;6,00379704753290e-02;3,88098828171366e-02
H04;Oberhavel 1;inlet;H05;6263000;NA;3;NA;NA;0,00000000000000e+00;0,9999999999989510;1,89977354023995e-13;0,00000000000000e+00;2,71480240962448e-13;1,18648104365871e-13;6,58895638601606e-13
H05;Oberhavel 2;H04;H06;2603000;2868524;3;NA;NA;0,00000000000000e+00;0,9955893300241420;3,31079824677735e-04;0,00000000000000e+00;7,81519624611221e-22;3,28571998441081e-04;4,08209797741696e-03
H06;Oberhavel 3;H05;H07;3544000;1141376;3;Yes;NA;0,00000000000000e+00;0,9406653284563069;7,85295639706569e-03;0,00000000000000e+00;4,16521542485816e-02;7,77068748630695e-03;9,91182980880450e-03
H07;Unterhavel 1;H06;H08;840000;NA;5;NA;NA;1,34169492197500e-64;0,9057449168422806;1,02269617991426e-02;1,78761678119092e-08;7,67982061319015e-02;1,03400522620452e-02;7,11680688760475e-03
H08;Unterhavel 2;H07;Out;61690000;13036596;5;NA;NA;5,06113288645130e-11;0,8779816124602130;1,98208000709156e-02;1,39735852788171e-03;8,61435801764382e-02;2,02106017561971e-02;1,42668470286586e-02
H09;Wannsee;S23;H08;16380000;2819060;5;NA;Yes;1,51286558573092e-19;0,5082042423468838;5,32591130975802e-02;3,01507736037019e-02;3,81435570528417e-01;5,18473792358714e-02;2,83620342851257e-02
Out;Outflow Potsdamer Havel;NA;NA;NA;NA;5;NA;NA;3,58225914288245e-11;0,8052161744438751;2,30505586007534e-02;6,95852735303509e-03;1,52504776447030e-01;2,33528839988281e-02;1,19676377214091e-02
